radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
600,3,4,33,7.4,2.7640549922170505,25.6,10,0.6666666666666666,0.0036666666666666666,0.0072932206199237525,22,33,6000
600,3,5,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
600,5,2,741,630.7,19.225243821600806,110.29999999999995,10,0.4048582995951417,0.05,0.08900756564307967,300,741,6000
600,5,3,551,458.0,16.911534525287763,93.0,10,0.4537205081669691,0.041666666666666664,0.0763242253091131,250,551,6000
600,5,4,91,35.1,6.655073252789935,55.9,10,0.7802197802197802,0.011833333333333333,0.02331308487933016,71,91,6000
600,5,5,8,0.4,0.66332495807108,7.6,10,0.75,0.001,0.0019973368841544607,6,8,6000
600,10,2,710,583.4,22.352628480784986,126.60000000000002,10,0.504225352112676,0.059666666666666666,0.10670640834575261,358,710,6000
600,10,3,669,547.4,21.284736315021615,121.60000000000002,10,0.5127055306427504,0.057166666666666664,0.1028639976008397,343,669,6000
600,10,4,219,150.3,8.462269199216012,68.69999999999999,10,0.7077625570776256,0.025833333333333333,0.0498472423219167,155,219,6000
600,10,5,33,9.7,2.758622844826744,23.3,10,0.7878787878787878,0.004333333333333333,0.008619260732637163,26,33,6000
800,1,2,835,855.5,25.441108466417102,-20.5,10,0.08622754491017964,0.012,0.0210680321872714,72,835,6000
800,1,3,119,86.3,6.753517601961218,32.7,10,0.17647058823529413,0.0035,0.006863866644876614,21,119,6000
800,1,4,3,1.0,1.2649110640673518,2.0,10,0.3333333333333333,0.00016666666666666666,0.0003331667499583542,1,3,6000
800,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
800,2,2,693,662.3,24.39692603587591,30.700000000000045,10,0.16161616161616163,0.018666666666666668,0.03346780218138354,112,693,6000
800,2,3,359,342.2,13.72443077143821,16.80000000000001,10,0.18662952646239556,0.011166666666666667,0.021072495675420664,67,359,6000
800,2,4,21,10.4,3.7202150475476548,10.6,10,0.42857142857142855,0.0015,0.0029895366218236174,9,21,6000
800,2,5,2,0.1,0.30000000000000004,1.9,10,1.0,0.0003333333333333333,0.0006664445184938354,2,2,6000
800,3,2,740,700.5,15.19374871452072,39.5,10,0.20945945945945946,0.025833333333333333,0.04599406528189911,155,740,6000
800,3,3,561,539.9,11.631422956801115,21.100000000000023,10,0.22281639928698752,0.020833333333333332,0.038103947568968136,125,561,6000
800,3,4,73,31.6,4.586937976471886,41.4,10,0.3835616438356164,0.004666666666666667,0.009221142763049564,28,73,6000
800,3,5,3,0.5,0.5,2.5,10,1.0,0.0005,0.0009995002498750627,3,3,6000
800,5,2,736,688.5,27.975882470442286,47.5,10,0.30434782608695654,0.037333333333333336,0.0665083135391924,224,736,6000
800,5,3,696,643.4,27.481630228208807,52.60000000000002,10,0.3045977011494253,0.035333333333333335,0.06332138590203107,212,696,6000
800,5,4,186,136.0,7.886697661252142,50.0,10,0.44086021505376344,0.013666666666666667,0.02651147752990624,82,186,6000
800,5,5,14,4.1,1.8681541692269406,9.9,10,0.7857142857142857,0.0018333333333333333,0.003658131027602261,11,14,6000
800,10,2,663,579.4,25.519404381764087,83.60000000000002,10,0.39819004524886875,0.044,0.07924358397118414,264,663,6000
800,10,3,660,574.3,24.087548650703333,85.70000000000005,10,0.396969696969697,0.043666666666666666,0.07867867867867867,262,660,6000
800,10,4,384,341.9,18.549663069716388,42.10000000000002,10,0.4609375,0.0295,0.055451127819548876,177,384,6000
800,10,5,70,49.4,4.1521078984053394,20.6,10,0.5857142857142857,0.006833333333333334,0.013509060955518945,41,70,6000
1000,1,2,754,696.2,23.459752769370777,57.799999999999955,10,0.0623342175066313,0.007833333333333333,0.013917678412792416,47,754,6000
1000,1,3,224,192.8,8.997777503361595,31.19999999999999,10,0.09375,0.0035,0.006748071979434447,21,224,6000
1000,1,4,4,2.7,1.676305461424021,1.2999999999999998,10,0.25,0.00016666666666666666,0.00033311125916055963,1,4,6000
1000,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
1000,2,2,744,695.1,24.82518882103417,48.89999999999998,10,0.0967741935483871,0.012,0.021352313167259787,72,744,6000
1000,2,3,597,544.9,15.391231269784752,52.10000000000002,10,0.09380234505862646,0.009333333333333334,0.01697741397604972,56,597,6000
1000,2,4,48,30.0,3.687817782917155,18.0,10,0.1875,0.0015,0.0029761904761904765,9,48,6000
1000,2,5,2,0.4,0.48989794855663565,1.6,10,1.0,0.0003333333333333333,0.0006664445184938354,2,2,6000
1000,3,2,741,732.9,17.85189065617421,8.100000000000023,10,0.1241565452091768,0.015333333333333332,0.027295653463877762,92,741,6000
1000,3,3,681,673.0,19.590814173994914,8.0,10,0.1277533039647577,0.0145,0.026044005388414906,87,681,6000
1000,3,4,125,99.9,3.8065732621348563,25.099999999999994,10,0.232,0.004833333333333334,0.009469387755102041,29,125,6000
1000,3,5,7,3.2,1.5999999999999999,3.8,10,0.5714285714285714,0.0006666666666666666,0.0013317795904777758,4,7,6000
1000,5,2,705,672.5,18.46753908889866,32.5,10,0.2198581560283688,0.025833333333333333,0.04623415361670395,155,705,6000
1000,5,3,691,660.1,16.79553512097784,30.899999999999977,10,0.22141823444283648,0.0255,0.045733074278882076,153,691,6000
1000,5,4,294,286.1,16.114899937635354,7.899999999999977,10,0.2687074829931973,0.013166666666666667,0.025103272958373054,79,294,6000
1000,5,5,27,20.7,3.407345007480164,6.300000000000001,10,0.5555555555555556,0.0025,0.004977600796416128,15,27,6000
1000,10,2,605,565.5,15.628499608087784,39.5,10,0.30578512396694213,0.030833333333333334,0.05601816805450417,185,605,6000
1000,10,3,604,565.3,15.881120867243595,38.700000000000045,10,0.30629139072847683,0.030833333333333334,0.05602665051483949,185,604,6000
1000,10,4,476,464.0,14.247806848775006,12.0,10,0.33403361344537813,0.0265,0.04910438542310067,159,476,6000
1000,10,5,136,137.3,10.677546534667972,-1.3000000000000114,10,0.3382352941176471,0.007666666666666666,0.01499348109517601,46,136,6000
